Namn;Id;Cat SV;Include;Namn (ENG)
Bil  Båt & Motor;;;No;
Begagnade bilar;502;Bil  Båt & Motor;No;
Bensinstationer;184;Bil  Båt & Motor;No;
Bildelar & Biltillbehör;45;Bil  Båt & Motor;No;
Bilel- & Bilelektronikverkstäder;151;Bil  Båt & Motor;No;
Bilförsäljning;76;Bil  Båt & Motor;No;
Bilglas;510;Bil  Båt & Motor;No;
Billarm;483;Bil  Båt & Motor;No;
Bilplåt- & Billackeringsverkstäder;152;Bil  Båt & Motor;No;
Bilradio & Bilstereoutrustning;481;Bil  Båt & Motor;No;
Bilskrot;360;Bil  Båt & Motor;No;
Biluthyrning;127;Bil  Båt & Motor;No;
Bilverkstäder;153;Bil  Båt & Motor;Yes;Car mechanic
Bilvård;154;Bil  Båt & Motor;No;
Bärgningar;150;Bil  Båt & Motor;No;
Båtar & Båttillbehör;63;Bil  Båt & Motor;No;
Båtklubbar;570;Bil  Båt & Motor;No;
Båtuthyrning;564;Bil  Båt & Motor;No;
Båtvarv;364;Bil  Båt & Motor;No;
Däckservice & Däckförsäljning;155;Bil  Båt & Motor;No;
Fordonsbesiktningar;1419;Bil  Båt & Motor;No;
Fordonsuthyrning;563;Bil  Båt & Motor;No;
Gästhamnar;1400;Bil  Båt & Motor;No;Harbour for visitors 
Husbilar  Husvagnar & Släpvagnar;376;Bil  Båt & Motor;No;
Husbils-  Släpvagns- & Husvagnsuthyrning;565;Bil  Båt & Motor;No;
Husvagnsreparationer & Tillbehör;577;Bil  Båt & Motor;No;
Lastbilar  Bussar & Specialfordon;387;Bil  Båt & Motor;No;
Mopedförsäljning & Mopedverkstäder;539;Bil  Båt & Motor;No;
Motorcyklar  Försäljning & Service;71;Bil  Båt & Motor;No;
Nya bilar;504;Bil  Båt & Motor;No;
Parkeringsservice;400;Bil  Båt & Motor;Yes;
Rostskyddsbehandlingar;742;Bil  Båt & Motor;No;
Sjöservice;1399;Bil  Båt & Motor;No;
Snöskotrar;1439;Bil  Båt & Motor;No;
Trafikskolor;177;Bil  Båt & Motor;No;
Butiker & Shopping;;;No;
Accessoarer;60;Butiker & Shopping;No;
Antikvariat;899;Butiker & Shopping;No;
Antikviteter;61;Butiker & Shopping;No;
Apotek;102;Butiker & Shopping;Yes;
Auktioner;74;Butiker & Shopping;No;
Baby- & Barnutrustning;299;Butiker & Shopping;No;
Badrumsinredningar;43;Butiker & Shopping;No;
Bagerier;263;Butiker & Shopping;No;
Barn- & Babykläder;578;Butiker & Shopping;No;
Barnvagnsbutiker;471;Butiker & Shopping;No;
Belysningar & Lampaffärer;53;Butiker & Shopping;No;
Bensinstationer;184;Butiker & Shopping;No;
Bijouteributiker;460;Butiker & Shopping;No;
Blomsterhandel;77;Butiker & Shopping;No;
Bokhandel;62;Butiker & Shopping;No;
Bokklubbar;514;Butiker & Shopping;No;
Byggvaror & Järnaffärer;36;Butiker & Shopping;No;
CD & DVD;147;Butiker & Shopping;No;
Cykelförsäljning & Cykelverkstäder;78;Butiker & Shopping;No;
Cyklar;537;Butiker & Shopping;No;
Damkläder;581;Butiker & Shopping;No;
Datorer & Datortillbehör;59;Butiker & Shopping;No;
Djuraffärer;64;Butiker & Shopping;No;
E-handel;251;Butiker & Shopping;No;
Elartiklar;38;Butiker & Shopping;No;
Fest- & Högtidskläder;579;Butiker & Shopping;No;
Fotoaffärer;566;Butiker & Shopping;No;
Färg & Tapeter;39;Butiker & Shopping;No;
Garner  Tyger & Sybehör;48;Butiker & Shopping;No;
Glas & Porslin;49;Butiker & Shopping;No;
Glasbruk;88;Butiker & Shopping;No;
Golfbutiker;476;Butiker & Shopping;No;
Golvbutiker;40;Butiker & Shopping;No;
Guld & Juveler;79;Butiker & Shopping;No;
Handelsträdgårdar;22;Butiker & Shopping;No;
Handskbutiker & Väskbutiker;459;Butiker & Shopping;No;
Hantverk & Hemslöjd;375;Butiker & Shopping;No;
Hemelektronik & Hushållsapparater;50;Butiker & Shopping;No;
Hemtextilier & Gardiner;51;Butiker & Shopping;No;
Herrkläder;582;Butiker & Shopping;No;
Hobbyartiklar;613;Butiker & Shopping;No;
Inredningsartiklar;67;Butiker & Shopping;No;
Jakt- & Fiskeutrustning;17;Butiker & Shopping;No;
Jour- & Servicebutiker;267;Butiker & Shopping;No;
Järnvaror;525;Butiker & Shopping;No;
Kakel & Klinkers;301;Butiker & Shopping;No;
Klockaffärer & Urmakare;68;Butiker & Shopping;No;
Klädaffärer;69;Butiker & Shopping;No;
Konfektyr & Godisaffärer;384;Butiker & Shopping;No;
Konstgallerier;87;Butiker & Shopping;No;
Kosmetika;70;Butiker & Shopping;No;
Köksartiklar;52;Butiker & Shopping;No;
Köpcentrum & Gallerior;81;Butiker & Shopping;No;
Leksaker;614;Butiker & Shopping;No;
Leksaks-  Spel- & Hobbybutiker;54;Butiker & Shopping;No;
Livsmedelsbutiker;268;Butiker & Shopping;Yes;
Ljud & Bild;32;Butiker & Shopping;No;
Mattaffärer;55;Butiker & Shopping;No;
Mobiltelefoner;47;Butiker & Shopping;No;
Mopedförsäljning & Mopedverkstäder;539;Butiker & Shopping;No;
Musikaffärer;66;Butiker & Shopping;No;
Möbelaffärer;56;Butiker & Shopping;No;
Optiker;109;Butiker & Shopping;No;
Pantbanker;161;Butiker & Shopping;No;
Pappershandel;46;Butiker & Shopping;No;
Postens Frimärksombud;1143;Butiker & Shopping;No;
